id,date,market,commodity,price
114,2022-08-01,Nakasero,BEANS,2991
115,2021-05-27,,BEANS,826
116,2021-09-10,Nakasero,Maize,669
117,2020-10-02,,Maize,1935
118,2022-07-27,Nakasero,MAIZE,4070
119,2020-04-03,Kansanga,Beans,3130
120,2020-12-03,Kansanga,BEANS,3780
121,2021-04-10,Mukono,Beans,1449
122,2021-06-10,Mukono,BEANS,2036
123,2021-05-25,Kansanga,Maize,4999
124,2022-06-20,Kansanga,Maize,-2000
125,2021-12-27,Bwaise,Beans,3842
126,2022-07-23,Mukono,BEANS,1761
127,2021-06-05,Nakasero,BEANS,4368
128,2021-01-27,Bwaise,MAIZE,2763
129,2020-12-14,,Beans,2817
130,2021-08-16,Kansanga,MAIZE,4467
131,2021-07-10,Kansanga,BEANS,2045
132,2021-01-27,Bwaise,BEANS,-2000
133,2022-04-10,Kansanga,BEANS,1746
134,2021-05-29,,Beans,4106
135,2020-01-16,Bwaise,BEANS,1764
136,2020-09-28,Nakasero,BEANS,3191
137,2021-01-24,Nakasero,BEANS,794
138,2021-12-01,Nakasero,MAIZE,4055
139,2021-12-21,Mukono,BEANS,2953
140,2022-03-26,Mukono,Beans,4028
141,2021-08-02,Bwaise,MAIZE,3633
142,2022-07-23,,MAIZE,2580
143,2022-07-09,Kansanga,Beans,1794
144,2021-08-24,Nakasero,BEANS,4242
145,2021-01-28,Kansanga,Maize,3440
146,2020-10-29,Mukono,BEANS,901
147,2022-05-02,Nakasero,MAIZE,3386
148,2020-09-13,Bwaise,Maize,822
149,2021-08-16,Nakasero,MAIZE,2917
150,2020-07-24,Bwaise,Beans,2732
151,2022-04-24,Kansanga,Beans,3274
152,2020-03-18,Bwaise,MAIZE,3755
153,2021-01-09,Mukono,BEANS,-2000
154,2021-11-19,Nakasero,BEANS,3543
155,2020-01-26,,Beans,2313
156,2021-04-20,Nakasero,BEANS,871
157,2021-05-19,Mukono,Maize,4903
158,2021-11-17,,BEANS,1765
159,2022-05-03,Kansanga,BEANS,2791
160,2021-03-30,Kansanga,MAIZE,1313
161,2022-07-12,Nakasero,Maize,2054
162,2022-04-23,Kansanga,Maize,674
163,2020-05-08,,MAIZE,2197
164,2020-08-26,Nakasero,MAIZE,523
165,2020-05-13,,Beans,1400
166,2020-01-16,Nakasero,MAIZE,629
167,2022-01-29,Kansanga,Maize,4401
168,2021-08-30,Mukono,BEANS,855
169,2021-11-05,,Beans,755
170,2021-02-15,Kansanga,Maize,4133
171,2021-09-14,Bwaise,Maize,4992
172,2021-09-03,,Beans,4024
173,2022-05-23,,MAIZE,2371
174,2021-02-12,Kansanga,Maize,3060
175,2020-06-05,Kansanga,Maize,1199
176,2022-01-26,Nakasero,MAIZE,3200
177,2022-06-13,Kansanga,Maize,3059
178,2020-08-05,Bwaise,BEANS,1386
179,2020-04-27,Nakasero,MAIZE,715
180,2021-12-11,Nakasero,Maize,3031
181,2020-07-04,Bwaise,BEANS,751
182,2021-01-20,Kansanga,BEANS,3531
183,2022-08-22,,Maize,1774
184,2021-11-21,Mukono,Beans,3973
185,2020-10-06,Bwaise,Maize,1408
186,2021-05-13,,Beans,-2000
187,2020-01-08,Bwaise,Beans,1624
188,2020-05-02,Mukono,BEANS,1939
189,2020-08-23,,Beans,846
190,2020-03-20,Nakasero,BEANS,3921
191,2022-09-16,Nakasero,MAIZE,4269
192,2020-03-31,Kansanga,Maize,3780
193,2020-11-13,Nakasero,MAIZE,1877
194,2021-06-27,,MAIZE,3362
195,2021-10-22,Bwaise,MAIZE,2596
196,2022-02-17,Mukono,MAIZE,4547
197,2021-08-16,Kansanga,Beans,3089
198,2021-03-28,Nakasero,Beans,3383
199,2021-04-07,Mukono,Maize,2851
200,2022-05-25,Mukono,BEANS,836
201,2021-10-29,Bwaise,Beans,4607
202,2020-04-15,Nakasero,Maize,1913
203,2021-03-25,,MAIZE,2817
204,2021-11-26,,Maize,3241
205,2021-11-25,Kansanga,Beans,1731
206,2020-05-24,Nakasero,Beans,3710
207,2020-03-27,Nakasero,BEANS,3190
208,2022-04-28,,Maize,3968
209,2020-14-50,Nakasero,MAIZE,3299
210,2020-08-19,Bwaise,MAIZE,1328
211,2022-01-26,,Maize,1573
212,2020-07-04,,MAIZE,857
213,2020-08-31,Kansanga,Beans,4177
214,2022-09-15,Kansanga,MAIZE,4109
215,2021-01-26,,BEANS,2135
216,2020-09-13,Mukono,BEANS,1340
217,2020-05-07,Nakasero,Maize,2734
218,2022-04-30,Kansanga,Maize,2318
219,2022-08-10,Mukono,BEANS,4612
220,2020-03-24,Nakasero,MAIZE,-2000
221,2021-10-27,Nakasero,MAIZE,2850
222,2022-05-01,Bwaise,BEANS,543
223,2020-14-50,Bwaise,MAIZE,4823
224,2020-08-31,Nakasero,Maize,-2000
225,2021-04-13,Mukono,Maize,4594
226,2020-14-50,,MAIZE,2886
227,2020-09-03,,BEANS,1201
228,2022-09-03,,Maize,4351
229,2021-01-17,Nakasero,Maize,1053
230,2021-10-05,Mukono,Beans,3386
231,2020-06-28,Kansanga,BEANS,1604
232,2021-04-13,Mukono,Beans,2134
233,2020-11-13,,BEANS,4948
234,2021-10-24,Bwaise,Beans,891
235,2020-05-07,Nakasero,BEANS,4102
236,2022-09-24,Bwaise,BEANS,3509
237,2022-03-31,Mukono,BEANS,1978
238,2020-03-22,Nakasero,Beans,3990
239,2021-04-02,Mukono,Beans,4063
240,2022-08-28,Mukono,Maize,3827
241,2021-11-26,Bwaise,Maize,4089
242,2022-03-08,Nakasero,Beans,765
243,2022-08-29,Nakasero,Beans,1129
244,2021-02-11,Nakasero,Beans,1429
245,2021-06-14,Kansanga,Maize,2632
246,2021-09-18,Nakasero,BEANS,1611
247,2022-07-09,Kansanga,Maize,3118
248,2021-07-17,,Beans,1790
249,2021-10-15,Bwaise,Beans,1494
250,2020-08-30,Kansanga,Maize,3522
251,2020-05-12,,Maize,3761
252,2021-06-22,Kansanga,BEANS,1104
253,2020-03-16,Kansanga,BEANS,3322
254,2021-07-18,,MAIZE,1557
255,2020-02-26,Mukono,MAIZE,1826
256,2020-12-20,,Beans,2552
257,2020-10-08,Bwaise,Beans,1265
258,2022-08-22,,MAIZE,3265
259,2022-04-25,Mukono,Maize,-2000
260,2021-10-28,Bwaise,BEANS,748
261,2020-10-23,Nakasero,BEANS,3826
262,2020-03-02,Bwaise,BEANS,4304
263,2020-11-16,Nakasero,Beans,1571
264,2020-04-18,Nakasero,MAIZE,2691
265,2020-02-21,Nakasero,BEANS,3925
266,2020-06-12,Nakasero,Beans,1805
267,2021-05-25,Nakasero,BEANS,-2000
268,2022-09-16,Bwaise,MAIZE,898
269,2022-06-22,Kansanga,Beans,1380
270,2022-01-14,Nakasero,BEANS,3781
271,2021-01-06,,Beans,4630
272,2022-04-25,,Maize,1292
273,2020-12-13,,Beans,2130
274,2020-02-11,Mukono,Maize,3228
275,2020-06-01,,MAIZE,3109
276,2022-01-27,Nakasero,Beans,4675
277,2020-11-02,Kansanga,Maize,1397
278,2022-03-26,Mukono,BEANS,2364
279,2020-06-23,,BEANS,2484
280,2020-04-22,Bwaise,Maize,3930
281,2021-02-24,,BEANS,1010
282,2021-07-28,Nakasero,BEANS,3070
283,2021-06-29,Nakasero,Beans,2665
284,2020-09-09,Nakasero,Beans,2938
285,2021-12-07,Kansanga,Beans,2740
286,2021-07-10,Kansanga,BEANS,1699
287,2022-01-01,Mukono,Beans,2600
288,2022-04-27,,Beans,2725
289,2021-08-23,Bwaise,MAIZE,4850
290,2020-04-12,Kansanga,Beans,1323
291,2022-09-14,,MAIZE,4396
292,2022-09-14,Nakasero,Beans,984
293,2021-08-10,Bwaise,Maize,1934
294,2022-08-14,Mukono,BEANS,2026
295,2022-08-06,Nakasero,Maize,-2000
296,2020-12-09,Nakasero,BEANS,4950
297,2020-05-17,,BEANS,1422
298,2021-10-25,Nakasero,MAIZE,-2000
299,2021-11-21,Bwaise,MAIZE,3821
300,2020-03-29,Kansanga,Maize,1651
301,2020-01-07,Nakasero,BEANS,2687
302,2022-01-10,,Maize,3445
303,2020-05-01,Kansanga,Beans,4616
304,2022-02-27,Nakasero,Maize,2916
305,2022-09-07,Bwaise,BEANS,3560
306,2021-04-27,,MAIZE,1170
307,2021-01-05,Mukono,Maize,4986
308,2021-07-03,Bwaise,MAIZE,4762
309,2022-01-04,,BEANS,4680
310,2020-05-15,,BEANS,972
311,2020-11-11,Mukono,BEANS,524
312,2020-02-16,Kansanga,Beans,4933
313,2020-03-11,Kansanga,Maize,1974
314,2022-01-16,Kansanga,Beans,3633
315,2021-01-21,Kansanga,Maize,4917
316,2020-05-01,Bwaise,BEANS,2324
317,2020-11-01,Kansanga,BEANS,2381
318,2020-10-09,Bwaise,Maize,-2000
319,2022-08-16,Mukono,MAIZE,1326
320,2021-11-19,Mukono,MAIZE,3795
321,2022-02-11,Mukono,MAIZE,2869
322,2021-08-12,Nakasero,Beans,1673
323,2021-02-27,Nakasero,Beans,1934
324,2021-05-22,Mukono,Beans,3622
325,2021-03-02,Kansanga,MAIZE,2006
326,2022-05-19,Bwaise,Beans,1682
327,2021-07-29,Kansanga,BEANS,1598
328,2020-12-04,Mukono,BEANS,1257
329,2020-02-22,Nakasero,BEANS,823
330,2022-02-18,,MAIZE,3227
331,2020-08-04,Bwaise,Maize,4423
332,2021-12-21,Bwaise,BEANS,3134
333,2021-06-30,Nakasero,Beans,4700
334,2022-04-02,Kansanga,Beans,3536
335,2022-06-03,Bwaise,MAIZE,-2000
336,2022-01-07,Kansanga,Beans,3202
337,2020-09-08,Kansanga,Beans,4502
338,2021-05-17,Kansanga,MAIZE,3385
339,2021-05-15,Bwaise,Maize,1108
340,2022-02-21,Mukono,BEANS,2395
341,2020-08-11,,BEANS,4458
342,2020-14-50,,BEANS,-2000
343,2022-09-27,Nakasero,Maize,4027
344,2020-04-19,Mukono,MAIZE,4812
345,2022-03-25,Kansanga,Maize,3826
346,2021-12-14,Bwaise,Beans,1160
347,2022-02-16,Mukono,Maize,3589
348,2020-01-10,Bwaise,Maize,4054
349,2022-09-27,Mukono,Maize,4395
350,2021-12-01,Nakasero,Maize,3076
350,2020-05-27,Kansanga,Maize,2469
352,2021-11-24,,Beans,1646
353,2020-03-21,,Beans,4080
354,2021-09-11,,BEANS,3173
355,2021-04-06,Kansanga,MAIZE,3575
356,2021-11-07,Kansanga,Maize,2919
357,2020-03-25,Nakasero,MAIZE,1763
358,2020-04-19,Mukono,Maize,4143
359,2020-05-15,Mukono,MAIZE,4697
360,2020-12-28,,Maize,3157
361,2020-14-50,Kansanga,BEANS,2488
362,2021-01-24,Bwaise,MAIZE,2698
363,2021-03-21,Nakasero,BEANS,1130
364,2022-01-08,Kansanga,MAIZE,1609
365,2020-12-06,,BEANS,3199
366,2022-04-23,,MAIZE,2145
367,2021-02-11,Nakasero,Beans,4522
368,2020-11-29,Kansanga,Beans,3718
369,2020-07-23,,MAIZE,720
370,2021-12-26,Bwaise,BEANS,1066
371,2021-02-22,Kansanga,MAIZE,2482
372,2021-03-09,Kansanga,Maize,4425
373,2022-08-03,Kansanga,Maize,3445
374,2021-08-31,Mukono,Maize,3408
375,2021-07-30,Kansanga,Beans,4026
376,2020-08-15,,MAIZE,3704
377,2021-12-08,,MAIZE,701
378,2022-07-31,Mukono,Maize,1660
379,2022-03-14,Bwaise,BEANS,1299
380,2020-11-22,Mukono,Beans,-2000
381,2020-12-17,Mukono,MAIZE,2498
382,2020-12-04,,BEANS,2399
383,2020-07-09,Kansanga,BEANS,-2000
384,2021-08-29,Kansanga,BEANS,-2000
385,2021-12-21,Mukono,Maize,4898
386,2021-04-13,Mukono,Beans,4509
387,2021-09-03,Kansanga,BEANS,3350
388,2020-06-25,Nakasero,Maize,3065
389,2020-07-06,Nakasero,MAIZE,3926
390,2021-03-09,Bwaise,BEANS,1919
391,2020-05-23,Bwaise,Beans,939
392,2021-05-11,Bwaise,MAIZE,4640
393,2021-05-18,Kansanga,BEANS,1177
394,2020-08-13,Nakasero,Maize,4904
395,2021-08-02,Kansanga,Maize,2694
396,2021-01-10,,Maize,4115
397,2020-04-14,Bwaise,Beans,764
398,2022-04-16,Mukono,BEANS,1461
399,2022-04-10,,Beans,4007
400,2020-07-30,Bwaise,Maize,4860
401,2020-11-27,Nakasero,Beans,4714
402,2020-04-07,Bwaise,BEANS,2771
403,2022-06-05,Bwaise,MAIZE,3138
404,2021-11-23,Kansanga,BEANS,2701
405,2020-03-18,Mukono,BEANS,2779
406,2021-04-10,Kansanga,Beans,1263
407,2021-11-11,Nakasero,Maize,3758
408,2020-08-04,Kansanga,Beans,2823
409,2021-08-02,Kansanga,Beans,896
410,2022-05-06,Kansanga,Maize,1794
411,2020-14-50,Kansanga,MAIZE,1580
412,2022-06-14,Nakasero,Maize,2551
413,2021-10-26,Bwaise,Maize,3002
414,2021-03-15,Mukono,Maize,-2000
415,2020-08-19,,BEANS,-2000
416,2022-05-30,Kansanga,MAIZE,2375
417,2020-04-14,Mukono,Beans,2951
418,2022-02-10,Bwaise,MAIZE,569
419,2020-12-25,Bwaise,MAIZE,4124
420,2020-04-12,Bwaise,Maize,3645
421,2022-03-21,Bwaise,MAIZE,1190
422,2022-01-08,,Beans,719
423,2020-11-04,Bwaise,MAIZE,2921
424,2022-03-23,Bwaise,BEANS,2474
425,2021-06-24,Mukono,Beans,1581
426,2021-03-06,Nakasero,MAIZE,1097
426,2020-09-25,Bwaise,Maize,3760
428,2021-05-28,Kansanga,BEANS,1175
429,2020-06-05,Nakasero,Maize,4688
430,2020-06-08,,Beans,1041
431,2022-09-03,Bwaise,Maize,4059
432,2020-02-26,Nakasero,MAIZE,1624
433,2022-09-02,Nakasero,Beans,1539
434,2022-01-20,Mukono,Maize,4017
435,2021-12-30,,Maize,4684
436,2021-08-03,Bwaise,Beans,1342
437,2020-04-28,Bwaise,Maize,-2000
438,2021-04-28,Nakasero,BEANS,1966
439,2021-07-20,Kansanga,MAIZE,3909
440,2022-04-25,Mukono,Beans,931
441,2020-02-17,Kansanga,Maize,2812
442,2020-03-29,,BEANS,-2000
443,2020-11-07,,MAIZE,4541
444,2022-01-20,,MAIZE,3859
445,2021-10-13,Mukono,Beans,-2000
446,2022-01-14,Nakasero,Maize,2451
447,2022-09-22,Bwaise,Beans,2396
448,2021-12-18,Nakasero,BEANS,1195
449,2021-10-14,Kansanga,Maize,1010
450,2020-08-30,Nakasero,Beans,3719
451,2020-11-21,Kansanga,Beans,2160
452,2020-04-21,Bwaise,Maize,4317
453,2021-01-01,Bwaise,BEANS,2670
454,2022-04-06,Nakasero,Maize,3185
455,2022-09-18,Nakasero,BEANS,2948
456,2020-02-01,Kansanga,BEANS,2546
457,2022-03-23,Bwaise,Maize,-2000
458,2020-05-13,Bwaise,BEANS,1188
459,2022-04-12,Mukono,Maize,2119
460,2020-05-11,Mukono,Beans,4276
461,2021-03-19,Kansanga,BEANS,-2000
462,2020-08-07,Bwaise,Beans,1717
463,2020-09-08,Nakasero,BEANS,4424
464,2020-05-20,Kansanga,MAIZE,4807
465,2021-07-10,Mukono,BEANS,3441
466,2020-12-18,,Beans,1973
467,2020-01-31,Nakasero,Maize,4364
468,2020-08-26,Bwaise,Maize,2475
469,2022-07-28,Mukono,MAIZE,3681
470,2022-05-15,Bwaise,MAIZE,3105
471,2022-07-24,,Maize,3380
472,2021-07-30,Bwaise,BEANS,1938
473,2020-08-26,,MAIZE,-2000
474,2021-09-20,Bwaise,MAIZE,1953
475,2020-11-27,Mukono,Maize,1660
476,2022-05-31,Nakasero,Maize,3740
477,2020-11-26,Bwaise,MAIZE,4078
478,2021-10-26,Nakasero,MAIZE,3423
479,2020-06-28,Kansanga,Beans,2912
480,2022-08-29,,BEANS,765
481,2022-04-08,,MAIZE,1352
482,2022-02-02,Mukono,MAIZE,3117
483,2020-03-31,Nakasero,BEANS,-2000
484,2020-12-24,Nakasero,Maize,894
485,2022-09-19,Bwaise,BEANS,3602
486,2022-04-28,Kansanga,MAIZE,1103
487,2020-01-21,Nakasero,Beans,1107
488,2020-06-13,Mukono,Maize,4454
489,2021-10-31,Bwaise,BEANS,1329
490,2021-02-23,,Beans,2936
491,2021-08-08,,BEANS,3455
491,2022-04-23,,BEANS,710
493,2022-09-27,Mukono,BEANS,3026
494,2022-07-05,Nakasero,Maize,3674
495,2021-01-13,Bwaise,BEANS,-2000
496,2022-05-07,Nakasero,Maize,1292
497,2021-07-08,Kansanga,MAIZE,3671
498,2021-07-02,Kansanga,MAIZE,1146
499,2020-02-05,,MAIZE,4178
500,2022-09-22,Bwaise,MAIZE,3968
501,2020-07-25,Bwaise,Beans,1048
502,2021-07-19,Nakasero,Beans,601
503,2021-06-19,Kansanga,Maize,1714
504,2022-09-14,Mukono,Maize,1327
505,2022-06-20,Nakasero,BEANS,4477
506,2020-06-25,Nakasero,BEANS,3790
507,2020-12-05,Bwaise,Maize,2700
508,2022-04-17,Nakasero,Beans,4527
509,2022-09-22,Bwaise,MAIZE,4129
510,2022-01-16,Kansanga,Maize,2231
511,2021-05-11,,Beans,4721
512,2021-12-27,,BEANS,4794
513,2020-07-16,Bwaise,Maize,4239
514,2020-07-22,Nakasero,Beans,4637
515,2021-11-28,Mukono,MAIZE,4154
516,2021-08-23,,Beans,2618
517,2020-10-18,Mukono,BEANS,-2000
518,2020-08-07,Bwaise,MAIZE,2704
519,2022-06-04,Mukono,BEANS,1918
520,2020-14-50,Nakasero,Beans,2755
521,2020-12-23,Kansanga,Beans,2975
522,2021-02-10,,Maize,-2000
523,2022-05-09,Nakasero,Beans,1385
524,2020-10-10,Nakasero,Beans,2947
525,2020-09-03,Mukono,BEANS,1646
526,2020-10-29,Nakasero,BEANS,789
527,2022-04-15,Bwaise,Beans,2321
528,2021-05-02,Nakasero,Beans,1983
529,2022-01-28,Nakasero,MAIZE,3249
530,2020-08-16,Nakasero,BEANS,3214
531,2021-04-19,Mukono,BEANS,1083
532,2020-05-02,Kansanga,Beans,1735
533,2021-02-23,,BEANS,1977
534,2021-10-08,Bwaise,Beans,538
535,2022-03-03,Bwaise,MAIZE,1221
536,2021-03-15,Kansanga,BEANS,3640
536,2022-01-18,Nakasero,Maize,4850
538,2021-10-03,Bwaise,MAIZE,3320
539,2021-05-30,,Beans,874
540,2022-01-15,,Beans,1596
541,2021-01-02,Bwaise,MAIZE,3804
541,2020-05-14,Bwaise,Maize,1884
543,2022-03-22,Mukono,BEANS,2595
544,2021-08-31,Mukono,Maize,661
545,2021-03-30,Kansanga,Maize,4386
546,2021-12-03,Mukono,Beans,1327
547,2021-09-12,Bwaise,BEANS,1359
548,2020-10-16,Mukono,Maize,2136
549,2022-09-23,Bwaise,Beans,2919
550,2022-07-21,Bwaise,BEANS,522
550,2020-04-23,,BEANS,1237
552,2022-01-10,Mukono,Beans,4241
553,2021-04-20,Mukono,Maize,823
554,2021-11-24,Nakasero,BEANS,1278
555,2020-01-10,Bwaise,MAIZE,4085
556,2022-01-20,Mukono,Beans,1998
557,2021-04-12,Nakasero,BEANS,4417
558,2022-03-27,Bwaise,Maize,980
559,2020-04-16,Kansanga,BEANS,4089
560,2021-01-02,,Maize,1570
561,2022-06-27,Kansanga,BEANS,-2000
562,2021-12-22,,MAIZE,3271
563,2021-09-25,Mukono,BEANS,2536
564,2021-10-18,Kansanga,MAIZE,947
564,2021-06-01,Kansanga,BEANS,1113
566,2020-12-04,Nakasero,Maize,3601
567,2021-04-15,Kansanga,BEANS,4583
568,2021-05-24,Mukono,Maize,793
569,2020-14-50,Mukono,Beans,2194
570,2020-12-15,Nakasero,Maize,4222
571,2021-09-06,Kansanga,Beans,1434
572,2020-01-03,Nakasero,Beans,2891
573,2020-04-18,Mukono,MAIZE,3852
574,2020-07-11,Mukono,BEANS,2061
575,2021-02-28,Mukono,Maize,4190
576,2021-05-31,Bwaise,BEANS,-2000
577,2021-03-19,,BEANS,1951
578,2022-04-14,Bwaise,Maize,3136
579,2021-09-15,Bwaise,Beans,3308
580,2020-05-16,Bwaise,BEANS,4696
581,2022-05-31,Nakasero,MAIZE,2880
582,2020-05-15,Bwaise,Beans,3385
583,2022-08-23,Kansanga,Beans,3960
584,2020-01-26,Kansanga,MAIZE,963
585,2020-06-13,Nakasero,Beans,1008
586,2022-02-10,,Maize,4207
587,2022-01-27,,MAIZE,3685
588,2022-03-28,Nakasero,Maize,3674
589,2021-12-02,Nakasero,Maize,-2000
590,2022-03-10,Kansanga,MAIZE,3512
591,2021-09-09,Bwaise,MAIZE,1953
592,2022-09-12,Bwaise,Maize,4010
593,2020-06-13,,Beans,-2000
594,2020-02-10,Bwaise,Beans,2967
595,2021-01-01,Mukono,Beans,2006
596,2020-06-12,Kansanga,BEANS,2312
597,2020-12-05,Nakasero,Beans,4845
598,2022-02-09,Mukono,Maize,4150
599,2022-07-29,,MAIZE,3129
600,2020-04-26,Kansanga,Beans,2816
601,2022-02-27,Nakasero,BEANS,2928
602,2021-06-10,Mukono,Maize,4907
603,2020-08-03,Bwaise,BEANS,2184
604,2022-09-26,Kansanga,Maize,1759
605,2020-02-08,Mukono,Maize,2563
606,2020-08-21,Nakasero,BEANS,3813
607,2020-14-50,Mukono,Maize,1018
608,2021-12-18,Mukono,Beans,1369
609,2021-09-13,Mukono,Beans,4085
610,2020-02-01,Kansanga,MAIZE,1617
611,2022-05-19,,Beans,1680
612,2022-09-15,Nakasero,Maize,1658
613,2020-14-50,,BEANS,1197
614,2022-07-14,Nakasero,MAIZE,4698
615,2021-09-23,Nakasero,MAIZE,945
616,2021-07-16,Kansanga,Maize,1051
617,2021-08-17,Kansanga,Beans,2421
618,2022-07-10,Bwaise,Beans,3189
619,2021-08-21,Bwaise,Beans,4008
620,2022-03-15,Bwaise,BEANS,3444
621,2022-06-17,Kansanga,BEANS,3002
622,2021-10-23,,Maize,1646
623,2022-01-21,Mukono,Maize,4654
624,2021-08-15,Kansanga,MAIZE,2634
625,2021-04-28,Bwaise,Beans,2883
626,2020-04-02,Kansanga,Beans,2456
627,2021-09-20,Bwaise,MAIZE,1967
628,2022-06-12,Bwaise,BEANS,831
629,2020-03-05,Nakasero,Beans,2193
630,2021-02-01,Kansanga,BEANS,826
631,2021-12-21,,Beans,2657
632,2021-01-20,Kansanga,Beans,1137
633,2022-07-18,Bwaise,BEANS,3326
634,2021-09-10,Mukono,MAIZE,2384
635,2020-08-04,Bwaise,MAIZE,1469
636,2020-12-04,Mukono,BEANS,4424
637,2022-05-03,Kansanga,Maize,1547
638,2021-10-06,,Maize,1703
639,2020-07-03,,BEANS,652
640,2022-04-21,Nakasero,Maize,4361
641,2022-04-30,Kansanga,MAIZE,1989
642,2020-06-20,Nakasero,BEANS,1063
643,2020-04-21,Mukono,MAIZE,4631
644,2021-09-12,Mukono,MAIZE,819
645,2022-02-09,Mukono,Maize,1567
646,2020-01-02,Kansanga,BEANS,855
